admin2_code,admin2_name,admin1_code,admin1_name,year,idp_max,idp_mean,idp_median,n_rounds_in_year,country,iso3,GID_2,in_polygon,atrocity_count_first_pass
SD01001,Jebel Awlia,SD01,Khartoum,2023,9890,6338.894736842105,6920.0,33,sudan,SDN,,,0
SD01001,Jebel Awlia,SD01,Khartoum,2024,14020,7210.470588235294,4982.0,30,sudan,SDN,,,0
SD01001,Jebel Awlia,SD01,Khartoum,2025,28773,20493.833333333332,19799.0,12,sudan,SDN,,,0
SD01002,Um Bada,SD01,Khartoum,2023,5245,3846.7837837837837,4550.0,33,sudan,SDN,,,0
SD01002,Um Bada,SD01,Khartoum,2024,10209,7607.029411764706,7142.0,30,sudan,SDN,,,0
SD01002,Um Bada,SD01,Khartoum,2025,75481,37870.75,35919.5,12,sudan,SDN,,,0
SD01003,Bahri,SD01,Khartoum,2023,10110,5831.973684210527,4450.0,33,sudan,SDN,,,0
SD01003,Bahri,SD01,Khartoum,2024,33634,20174.20588235294,16392.5,30,sudan,SDN,,,0
SD01003,Bahri,SD01,Khartoum,2025,27003,25021.416666666668,25093.5,12,sudan,SDN,,,0
SD01004,Sharg An Neel,SD01,Khartoum,2023,13830,7774.473684210527,8765.0,33,sudan,SDN,,,0
SD01004,Sharg An Neel,SD01,Khartoum,2024,26860,15554.264705882353,17287.5,30,sudan,SDN,,,0
SD01004,Sharg An Neel,SD01,Khartoum,2025,30439,25310.583333333332,25505.5,12,sudan,SDN,,,0
SD01005,Karrari,SD01,Khartoum,2023,10230,7377.605263157895,9365.0,33,sudan,SDN,,,0
SD01005,Karrari,SD01,Khartoum,2024,20776,15677.411764705883,15171.0,30,sudan,SDN,,,0
SD01005,Karrari,SD01,Khartoum,2025,146729,79372.91666666667,99592.5,12,sudan,SDN,,,0
SD01006,Um Durman,SD01,Khartoum,2023,12685,5885.263157894737,4497.5,33,sudan,SDN,,,0
SD01006,Um Durman,SD01,Khartoum,2024,13351,8468.088235294117,7911.0,30,sudan,SDN,,,0
SD01006,Um Durman,SD01,Khartoum,2025,70218,39255.0,51226.0,12,sudan,SDN,,,0
SD01007,Khartoum,SD01,Khartoum,2023,5300,3082.2368421052633,3187.5,33,sudan,SDN,SDN.7.3_1,0.0,0
SD01007,Khartoum,SD01,Khartoum,2024,7190,3799.176470588235,3275.0,30,sudan,SDN,SDN.7.3_1,0.0,0
SD01007,Khartoum,SD01,Khartoum,2025,6746,6604.75,6716.0,8,sudan,SDN,SDN.7.3_1,0.0,0
SD02113,Dar As Salam,SD02,North Darfur,2012,27625,27625.0,27625.0,5,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2013,27625,27625.0,27625.0,7,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2014,27625,27625.0,27625.0,10,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2015,27625,27625.0,27625.0,12,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2016,27625,27625.0,27625.0,10,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2017,32709,30167.0,30167.0,10,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2018,32709,32709.0,32709.0,4,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2019,32709,32709.0,32709.0,1,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2020,42466,42466.0,42466.0,1,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2021,52504,47708.5,47708.5,2,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2022,46651,46441.0,46441.0,2,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2023,62326,11794.131578947368,9985.0,33,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2024,181448,72426.82352941176,48011.5,30,sudan,SDN,,,0
SD02113,Dar As Salam,SD02,North Darfur,2025,239399,207919.0,205073.5,12,sudan,SDN,,,0
SD02114,Al Fasher,SD02,North Darfur,2011,80083,80083.0,80083.0,4,sudan,SDN,SDN.8.1_1,1.0,0
SD02114,Al Fasher,SD02,North Darfur,2012,114936,95020.0,80083.0,7,sudan,SDN,SDN.8.1_1,1.0,0
SD02114,Al Fasher,SD02,North Darfur,2013,114936,114936.0,114936.0,7,sudan,SDN,SDN.8.1_1,1.0,0
SD02114,Al Fasher,SD02,North Darfur,2014,168435,157735.2,168435.0,10,sudan,SDN,SDN.8.1_1,1.0,0
SD02114,Al Fasher,SD02,North Darfur,2015,221237,211043.41666666666,220297.0,12,sudan,SDN,SDN.8.1_1,1.0,0
SD02114,Al Fasher,SD02,North Darfur,2016,221237,221237.0,221237.0,10,sudan,SDN,SDN.8.1_1,1.0,0
SD02114,Al Fasher,SD02,North Darfur,2017,221237,221237.0,221237.0,10,sudan,SDN,SDN.8.1_1,1.0,0
SD02114,Al Fasher,SD02,North Darfur,2018,221237,221237.0,221237.0,4,sudan,SDN,SDN.8.1_1,1.0,0
